order,year,month,date,season,location,type1,type,tempW,distance,tempA,rainfall,KMnO,pH,Turb,FreeCl,THMs,CHCl3,BDCM,DBCM,CH,DBAN,DCAN,TCAN,HAAs,HANs,address1,Longitude,Latitude
2,2024,9,25/09/24,Autumn,GB,0,DWTP,30.3,0,23.3,0,0.7,7,0.05,0.68,0.036,0.023,0.009,0.004,0.0007,0.0005,0,0,0,0,??????????,127.184416,37.594685
3,2024,9,25/09/24,Autumn,GB,1,Tap,26.4,9.1,23.3,0,0.8,6.9,0.06,0.2,0.045,0.028,0.012,0.005,0.0021,0.0005,0.0007,0,0.003,0.003,??????????????6??33,127.0311666,37.6597775
4,2024,9,25/09/24,Autumn,GB,2,Tank,26.8,11.3,23.3,0,0.7,6.9,0.06,0.25,0.046,0.029,0.012,0.005,0.0024,0.0006,0.0007,0,0.003,0.003,????????????160-1,127.0317068,37.6348903
6,2024,9,25/09/24,Autumn,YD,0,DWTP,28,0,23.3,0,0.8,7,0.06,0.65,0.052,0.037,0.011,0.004,0.0009,0,0,0,0.001,0.001,????????????,126.884068,37.547564
7,2024,9,25/09/24,Autumn,YD,1,Tap,27.6,5.1,23.3,0,1.2,6.7,0.09,0.22,0.059,0.04,0.014,0.005,0.0028,0.0005,0.0009,0,0.005,0.005,????????????335,126.8405038,37.5692343
8,2024,9,25/09/24,Autumn,YD,2,Tank,21.5,6.5,23.3,0,1,6.9,0.05,0.21,0.06,0.041,0.014,0.005,0.0028,0.0005,0.001,0,0.005,0.005,??????????????2????5,126.808953,37.5603655
10,2024,8,05/08/24,Summer,GA,0,DWTP,24.8,0,30,1.3,0.9,7.2,0.05,0.44,0.028,0.022,0.006,0,0.001,0,0.0005,0,0.003,0.0005,??????????,127.1724669,37.5198224
11,2024,8,05/08/24,Summer,GA,1,Tap,26.2,15,30,1.3,1,6.8,0.06,0.27,0.03,0.023,0.007,0,0.0014,0,0.0007,0,0.004,0.0007,?????????????? 28,127.120436,37.494891
12,2024,8,05/08/24,Summer,GA,2,Tank,24.3,15,30,1.3,0.9,6.8,0.06,0.14,0.033,0.026,0.007,0,0.0022,0,0.0009,0,0.004,0.0009,????????????32??14,127.1186753,37.5047234
14,2024,8,05/08/24,Summer,AS,0,DWTP,25.9,0,30,1.3,0.8,7,0.06,0.59,0.038,0.029,0.009,0,0.0006,0,0,0,0.001,0,??????????,127.1419079,37.56223559
